"Ag (ppm)","As (ppm)","Cu (ppm)","Mo (ppm)","Pb (ppm)","Sb (ppm)","Tl (ppm)","Zn (ppm)","Co (ppm)","Ni (ppm)","Type"
0.73,102.35,1334.66,0.475,0.26,0.11,0.04,2.05,2396.56,1689.96,"Porphyry"
0.49,15.41,2.18,0.17,1.71,0.08,0.005,5.99,712.69,278.09,"Porphyry"
0.74,166.44,7.14,0.37,0.84,0.14,0.005,57.57,751.29,122.15,"Porphyry"
1.45,673.5,111.89,4.17,90.39,4.17,0.02,7.3,54.62,80.77,"Porphyry"
1.214783374,3.173820791,7.74764171,0.0095,1.730883814,0.071873539,0.0025,0.367023995,2386.084716,820.9989239,"Porphyry"
0.59,1117.23,5.54,0.01,0.28,0.18,0.02,0.48,388.04,323.07,"Porphyry"
1.6725,6.170713542,18.43873539,0.749,1.094,1.3535,2.495,0.4925,4.002300146,1017.906405,"Porphyry"
0.21,1594.33,3.16,0.08,13.25,1.03,0.005,2,0.88,0.13,"Porphyry"
0.09,1809.24,2.94,0.95,0.93,0.13,0.02,0.785,2190.68,728.46,"Porphyry"
0.309761553,21.91248711,6.059492352,0.189359849,28.30089697,2.410183657,0.271493204,3.444724389,157.6250731,92.9652143,"Porphyry"
0.356687625,85.36133883,2.30481281,0.0165,0.48136015,7.727887424,0.025209826,2.372826877,3137.174853,1029.676982,"Porphyry"
0.086707611,11.94982963,32.93918301,0.054761317,12.89331339,1.522376999,0.00504935,43.26883509,205.2886415,904.7389656,"Porphyry"
0.006,60.31653658,0.436197508,0.022574138,0.025130845,0.024,0.004,0.361163938,1663.111931,1324.126292,"Porphyry"
27.57,1.5,2805.6,4.26,361.67,1.44,0.02,18.61,4.14,18.57,"Porphyry"
0.01,19.41,1.04,0.22,0.24,0.11,0.01,0.89,97.15,129.21,"Porphyry"
0.006,5.471882989,0.584529574,0.0065,0.009881004,0.197646045,0.001,0.508510382,149.6117728,645.1904381,"Porphyry"
0.001,3.766410068,3.123336233,0.002670235,0.02239626,0.163317082,0.00086814,1.610894079,56.37656307,312.656712,"Porphyry"
0.046817072,7220.901857,8.418942047,0.027,10.7260892,1.067775294,0.020072668,0.523138606,3819.230683,1243.958184,"Porphyry"
2.464,53.98518698,8294.80739,0.8775,2.843602314,0.4695,3.502,21.97057015,2033.451396,6726.535183,"Porphyry"
3.802147656,9.281007082,22.71388762,0.009913767,46.44236364,6.023108775,0.047486089,3.138485257,129.8323415,76.35151031,"Porphyry"
0.1,742.69,0.01,0.86,0.16,0.015,0.01,1.47,507.34,2444.4,"Porphyry"
0.0115,6.083122308,3.252658985,0.142162613,0.800863521,0.294363131,0.005672449,0.434056232,272.2473713,2028.957146,"Porphyry"
0.03,50.56,2.14,0.005,0.5,0.02,0.005,0.77,30.53,56.2,"Porphyry"
2.060066866,5.818695321,6.094673692,0.079260208,1.866579919,0.193224067,0.060962706,2.63334499,55.61812842,1237.599773,"Porphyry"
0.2,3132.14,7.69,0.26,87.38,5.03,0.02,25.06,379.04,297.79,"Porphyry"
0.0065,11.2331219,0.29826499,0.0065,0.024088456,0.049435354,0.001,0.162001994,109.5611941,811.5206215,"Porphyry"
0.01,2.51,0.97,0.165,0.0528331131615375,0.13,0.0159356283587089,0.23,33.51,12.18,"Porphyry"
0.019873504,3.554903571,0.89445624,0.009,0.324909805,0.110504827,0.017608397,0.524483489,12.92734773,495.1495361,"Porphyry"
0.006,4.498161162,0.389370182,0.0065,0.064902516,0.073081854,0.001,0.355575172,761.7736446,119.7677822,"Porphyry"
0.3,529.4,3.3,0.98,0.45,0.49,0.01,0.075,830.55,424.44,"Porphyry"
2.474036130389,1015.44015377143,346.224000582001,122.445615773063,101.617890455289,22.8056167888542,22.7756055662398,389.903507990858,68.4303808917681,527.167188539883,"Sedimentary"
17.5644004094489,72.0112595288904,144.176140213487,2152.49847591543,176.82548693597,159.258440511843,20.3403463062207,6829.74018492047,72.4231378694107,4034.87070245907,"Sedimentary"
0.715150092495296,929.576689206676,161.923881022381,46.1098163367482,395.700299594411,17.2962509631133,2.28430878565829,3.7031895518156,80.7187813975092,148.152908680854,"Sedimentary"
3.15619802514199,784.58434123499,658.629655603114,169.478448129751,42.6856816171794,38.2224992409962,6.92226578006709,13.1544269612575,204.134203497257,3957.96763953409,"Sedimentary"
55.4208914765418,63.8118037511894,1211.52017255487,382.392052558972,131.053706358262,76.0971262274014,15.9217811600562,1539.79155849577,72.1618760700539,3098.19415838534,"Sedimentary"
1.57177160892603,1197.91036390676,94.8195655124063,7.47520417607454,111.883614705705,14.2400027878437,6.0754381444279,135.149141638377,495.854845750274,604.393081271036,"Sedimentary"
7.86502685103921,176.849545399639,619.330000502572,45.1727366833756,979.114721553269,13.0842450431288,4.20002460675597,558.085085889501,186.180190197106,1402.38825663788,"Sedimentary"
9.41556484913066,485.523733414622,432.511980876692,2.04562690464681,538.417878946062,167.750939244809,1.00815116276482,97.0153830596109,562.347101730153,826.540827431569,"Sedimentary"
285.130003165296,564.387905922593,1153.31477398455,471.151837358255,650.509929577463,80.5688789048908,1.29493972080253,16.5622637419003,84.5749505385487,576.508889176936,"Sedimentary"
0.434579717036773,52.0431145220099,54.164361066096,1.03315024937377,225.972807828523,5.00309993067861,0.704606495364302,166.791568725236,263.766279187677,130.718184714246,"Sedimentary"
8.44464829671231,312.136535650975,236.700869702229,0.797522821758108,203.28651703597,43.8930703881421,0.90153386723849,40.999203331104,93.1912032646727,285.793370048787,"Sedimentary"
13.9870745037272,2034.71492861955,42.5728766908477,7.80806233289642,1003.94579292806,169.89770818835,4.9013329865224,28.5842364355036,1339.11803599826,1367.54753756355,"Sedimentary"
18.4586805016055,8053.80153572583,113.969135034928,89.8717227672414,121.258232070993,19.7627631589315,41.6666533050454,3.89952844404101,513.700751353861,3438.74465911077,"Sedimentary"
14.8331526042069,1043.34133026089,221.871878130854,17.7770415744645,343.791661301268,10.921483650289,72.9455541002166,17.9414553525961,136.278771745814,425.710470311032,"Sedimentary"
